tsg;id_gene;gene_symbol;tissue_L1;tissue_L2;Z_L1;SNR_L1;SIGNAL_L1;NOISE_L1;ref_tissue_L1;REF_L1;SRR_L1;Z_L2;SNR_L2;SIGNAL_L2;NOISE_L2;ref_tissue_L2;REF_L2;SRR_L2
ADH1C_liver;126.0;ADH1C;liver;hepato_bilary;;;;;;;;3.4;2.2;7.753978;3.565527;female_genital;2.356152;3.3
ADH4_biliary_tract;127.0;ADH4;biliary_tract;hepato_bilary;4.7;7.9;9.546424;1.210624;breast;0.965138;9.9;;;;;;;
ADH4_liver;127.0;ADH4;liver;hepato_bilary;4.2;7.1;8.591191;1.210624;breast;0.965138;8.9;4.2;13.0;8.344005;0.639983;female_genital;0.639983;13.0
ADH6_liver;130.0;ADH6;liver;hepato_bilary;;;;;;;;3.2;1.3;5.887976;4.372249;female_genital;0.306837;19.2
ADH7_larynx;131.0;ADH7;larynx;head_neck;4.1;1.5;6.340047;4.176768;breast;0.128343;49.4;;;;;;;
ADH7_mouth;131.0;ADH7;mouth;head_neck;;;;;;;;3.8;2.1;3.916084;1.876375;female_genital;0.235085;16.7
ADORA2A_blood;135.0;ADORA2A;blood;hematopoietic;;;;;;;;2.9;1.4;3.669863;2.610139;female_genital;0.699444;5.2
ADORA2BP1_biliary_tract;137.0;ADORA2BP1;biliary_tract;hepato_bilary;4.5;1.2;1.761113;1.443928;breast;0.13765;12.8;;;;;;;
ADORA3_testis;140.0;ADORA3;testis;male_germinal;;;;;;;;2.7;1.6;3.616632;2.271973;female_genital;1.240748;2.9
ADRA1A_biliary_tract;148.0;ADRA1A;biliary_tract;hepato_bilary;4.4;1.3;3.183892;2.471593;breast;0.796444;4.0;;;;;;;
ADRA1A_liver;148.0;ADRA1A;liver;hepato_bilary;;;;;;;;3.3;1.6;2.373945;1.482159;female_genital;0.59036;4.0
ADRA2C_artery;152.0;ADRA2C;artery;cardio_vascular;;;;;;;;2.8;1.6;5.230828;3.298422;female_genital;2.575117;2.0
ADRB1_placenta;153.0;ADRB1;placenta;placenta;4.2;1.4;4.24717;3.020544;breast;1.013411;4.2;3.1;1.4;4.24717;3.020544;female_genital;0.576608;7.4
ADRB3_adult_ovary;155.0;ADRB3;adult_ovary;female_genital;4.6;1.9;2.752491;1.464838;breast;0.136832;20.1;;;;;;;
AFM_liver;173.0;AFM;liver;hepato_bilary;;;;;;;;3.3;1.4;6.653338;4.829865;female_genital;0.020407;326.0
AFP_embryonic_stem_cells;174.0;AFP;embryonic_stem_cells;totipotent_stem_cells;;;;;;;;3.5;1.9;1.643204;0.849112;female_genital;0.411349;4.0
ACAN_artery;176.0;ACAN;artery;cardio_vascular;;;;;;;;4.1;4.4;3.061685;0.700833;female_genital;0.193713;15.8
ACAN_trachea_upper_respiratory;176.0;ACAN;trachea_upper_respiratory;tracheo_broncho_lung;5.0;1.3;4.09948;3.061685;breast;0.107394;38.2;;;;;;;
AGER_bronchus_lung;177.0;AGER;bronchus_lung;tracheo_broncho_lung;5.0;1.9;8.680014;4.46567;breast;1.529461;5.7;3.8;2.3;8.645402;3.706617;female_genital;1.932934;4.5
AGRP_adrenal_gland;181.0;AGRP;adrenal_gland;endocrine_gland;5.2;1.6;2.574689;1.572028;breast;0.071705;35.9;;;;;;;
AGRP_bronchus_lung;181.0;AGRP;bronchus_lung;tracheo_broncho_lung;;;;;;;;3.5;2.3;1.565834;0.686503;female_genital;0.073869;21.2
AGT_liver;183.0;AGT;liver;hepato_bilary;;;;;;;;2.8;1.3;9.212827;7.006074;female_genital;1.603548;5.7
AGTR2_bronchus_lung;186.0;AGTR2;bronchus_lung;tracheo_broncho_lung;4.2;1.3;1.9607;1.537294;breast;0.0;999.0;3.4;1.6;1.715612;1.056045;female_genital;1.056045;1.6
AGXT_liver;189.0;AGXT;liver;hepato_bilary;6.3;4.1;9.122326;2.240759;breast;0.216278;42.2;4.2;7.4;8.422666;1.141295;female_genital;0.116495;72.3
NR0B1_adrenal_gland;190.0;NR0B1;adrenal_gland;endocrine_gland;5.0;1.3;2.984148;2.319038;breast;0.164549;18.1;;;;;;;
NR0B1_testis;190.0;NR0B1;testis;male_germinal;;;;;;;;4.1;6.0;2.319038;0.385597;female_genital;0.16218;14.3
AHRR_testis;57491.0;AHRR;testis;male_germinal;;;;;;;;3.4;2.1;2.22034;1.070017;female_genital;0.326459;6.8
AHSG_biliary_tract;197.0;AHSG;biliary_tract;hepato_bilary;4.5;11.0;9.889776;0.895448;breast;0.019521;506.6;;;;;;;
AHSG_liver;197.0;AHSG;liver;hepato_bilary;4.5;11.2;10.011977;0.895448;breast;0.019521;512.9;4.2;10.8;9.704241;0.895448;female_genital;0.04682;207.3
AK4P1_peritoneum_retroperitoneum;206.0;AK4P1;peritoneum_retroperitoneum;thorax_abdo_pelvis_div;;;;;;;;3.1;1.3;1.61555;1.200317;female_genital;0.40065;4.0
ALAS2_blood;212.0;ALAS2;blood;hematopoietic;;;;;;;;3.7;1.9;5.58793;2.901735;female_genital;0.264222;21.1
ALAS2_bone_marrow;212.0;ALAS2;bone_marrow;hematopoietic;5.9;2.4;6.978985;2.901735;breast;0.326762;21.4;;;;;;;
ALB_biliary_tract;213.0;ALB;biliary_tract;hepato_bilary;4.2;2.4;14.818045;6.12017;breast;2.64223;5.6;;;;;;;
ALB_liver;213.0;ALB;liver;hepato_bilary;4.2;2.4;14.985648;6.12017;breast;2.64223;5.7;3.7;2.3;14.363571;6.12017;female_genital;1.940867;7.4
ALDH3A1_mouth;218.0;ALDH3A1;mouth;head_neck;;;;;;;;3.5;1.9;5.38928;2.88462;female_genital;0.995987;5.4
ALDH1A3_prostate;220.0;ALDH1A3;prostate;male_genital;;;;;;;;2.9;1.5;4.814806;3.257006;female_genital;2.483661;1.9
ALDH3B2_mouth;222.0;ALDH3B2;mouth;head_neck;;;;;;;;3.0;1.5;4.631613;3.083146;female_genital;2.273684;2.0
